Alloy Formula,"Composition
 type",Form,Composition in mole percent,"Thickness 
(micron)",fcc lattice parameter for Cu alloys,Bravais lattice in as-annealed form for PdCu based membranes,Latice parameter (nm),Bravais lattice in as-manufactured state,Temperature (°C),"Inverse temperature 
1E3/T (1E3 K-1)","Diffusion 
coefficient
(cm^2.s^-1)",Fabrication technique,"Pressure 
difference  P1^n- P2^n (Pa^n)","Pressure 
exponent 
(n)",Effective area (cm^2),Membrane support,Type of support,Gases,Solubility constant Ks (Pa^-0.5),Hydrogen permeability (mol.m^-1.s^-1.Pa^-n),"Hydrogen Permeation Flux
(mol.m^-2.s^-1)","Permeation 
Activation Energy (KJ/mol)",Hydrogen Permeance (mol.m^-2.s^-1.Pa^-0.5),Feed Flow rate (mL.min^-1),Hydrogen transfer rate s.c.f.h.(mil).(sq.ft.)^-1,Conversion factor,Number,General comments,Reference,DOI/URL,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,300,1.75,1.98E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.46E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,Use this link for unit conversion https://www.metric-conversions.org/volume/cubic-feet-to-cubic-meters.htm
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,325,1.67,2.60E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,1.73E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,350,1.61,3.07E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.08E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,375,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.39E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,400,1.49,4.24E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,2.81E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,425,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,3.27E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,450,1.38,5.71E-05,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,3.75E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,475,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,4.32E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
Pd65.1Cu34.9,mole fraction,foil,Pd65.10Cu34.90,97,,,0.3805,fcc,500,,,arc melting/cold rolling/CFUBMSIP (Close Field Unballanced Magnetron Sputtering Ion Plating),469.902,0.5,2.54,No,,H2',,4.95E-09,,,,,,,1,"In inverse T, the T unit is 1E-3K. The permeability unit is given in mol.m^-1.s^-1.Pa^-0.5. The upstream pressure was 6.18 bar and the downstream pressure was 1 bar. Based on the pressure exponent given by the authors n = 0.5 was taken.",(Nayebossadri et al.2017),http://dx.doi.org/10.1021/acsami.6b12752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
